source_file,reference,resolved_path,exists
README.md,ci/validate-workflow.example.yml,ci/validate-workflow.example.yml,True
README.md,data/alternatives.json,data/alternatives.json,True
README.md,data/candidate_taxonomy.json,data/candidate_taxonomy.json,True
README.md,data/decision_tree.json,data/decision_tree.json,True
README.md,data/operational_cost_model.json,data/operational_cost_model.json,True
README.md,data/pilot_decision_model.json,data/pilot_decision_model.json,True
README.md,data/pilot_sample_size_model.json,data/pilot_sample_size_model.json,True
README.md,data/pilot_tasks.json,data/pilot_tasks.json,True
README.md,data/risk_register.json,data/risk_register.json,True
README.md,data/scenario_profiles.json,data/scenario_profiles.json,True
README.md,data/scoring_rubric.json,data/scoring_rubric.json,True
README.md,data/security_evaluation_fixtures.json,data/security_evaluation_fixtures.json,True
README.md,data/simulation_assumptions.json,data/simulation_assumptions.json,True
README.md,data/traceability_matrix.json,data/traceability_matrix.json,True
README.md,examples/custom_weights.example.json,examples/custom_weights.example.json,True
README.md,examples/pilot_adapter_contract.py,examples/pilot_adapter_contract.py,True
README.md,examples/pilot_candidate_summary.example.csv,examples/pilot_candidate_summary.example.csv,True
README.md,reports/adoption_decision_record.md,reports/adoption_decision_record.md,True
README.md,reports/ai_orchestrator_frameworks_report.md,reports/ai_orchestrator_frameworks_report.md,True
README.md,reports/artifact_index.md,reports/artifact_index.md,True
README.md,reports/candidate_taxonomy.md,reports/candidate_taxonomy.md,True
README.md,reports/decision_tree.md,reports/decision_tree.md,True
README.md,reports/environment_prerequisites.md,reports/environment_prerequisites.md,True
README.md,reports/evidence_gap_analysis.md,reports/evidence_gap_analysis.md,True
README.md,reports/exclusions.md,reports/exclusions.md,True
README.md,reports/executive_brief.md,reports/executive_brief.md,True
README.md,reports/faq.md,reports/faq.md,True
README.md,reports/final_report_bundle.md,reports/final_report_bundle.md,True
README.md,reports/github_metadata_check.md,reports/github_metadata_check.md,True
README.md,reports/glossary.md,reports/glossary.md,True
README.md,reports/implementation_blueprints.md,reports/implementation_blueprints.md,True
README.md,reports/maintenance_guide.md,reports/maintenance_guide.md,True
README.md,reports/methodology_appendix.md,reports/methodology_appendix.md,True
README.md,reports/operational_cost_model.md,reports/operational_cost_model.md,True
README.md,reports/pilot_protocol.md,reports/pilot_protocol.md,True
README.md,reports/pilot_sample_size.md,reports/pilot_sample_size.md,True
README.md,reports/presentation_outline.md,reports/presentation_outline.md,True
README.md,reports/recommendation_rationale.md,reports/recommendation_rationale.md,True
README.md,reports/release_notes.md,reports/release_notes.md,True
README.md,reports/requirements_traceability.md,reports/requirements_traceability.md,True
README.md,reports/residual_risks.md,reports/residual_risks.md,True
README.md,reports/results_data_dictionary.md,reports/results_data_dictionary.md,True
README.md,reports/risk_validation_matrix.md,reports/risk_validation_matrix.md,True
README.md,reports/scenario_playbooks.md,reports/scenario_playbooks.md,True
README.md,reports/score_driver_summary.md,reports/score_driver_summary.md,True
README.md,reports/security_evaluation_fixtures.md,reports/security_evaluation_fixtures.md,True
README.md,reports/simulation_assumptions.md,reports/simulation_assumptions.md,True
README.md,reports/validation_summary.md,reports/validation_summary.md,True
README.md,results/all_results.json,results/all_results.json,True
README.md,results/alternative_scorecards.csv,results/alternative_scorecards.csv,True
README.md,results/artifact_manifest.csv,results/artifact_manifest.csv,True
README.md,results/category_scores.csv,results/category_scores.csv,True
README.md,results/criteria_definitions.csv,results/criteria_definitions.csv,True
README.md,results/criterion_spread_summary.csv,results/criterion_spread_summary.csv,True
README.md,results/csv_schema_check.csv,results/csv_schema_check.csv,True
README.md,results/custom_weights_example_rankings.csv,results/custom_weights_example_rankings.csv,True
README.md,results/decision_shortlist.csv,results/decision_shortlist.csv,True
README.md,results/deterministic_rankings.csv,results/deterministic_rankings.csv,True
README.md,results/evidence_gap_analysis.csv,results/evidence_gap_analysis.csv,True
README.md,results/evidence_matrix.csv,results/evidence_matrix.csv,True
README.md,results/github_metadata_check.csv,results/github_metadata_check.csv,True
README.md,results/implementation_effort_estimates.csv,results/implementation_effort_estimates.csv,True
README.md,results/license_audit.csv,results/license_audit.csv,True
README.md,results/local_artifact_reference_check.csv,results/local_artifact_reference_check.csv,True
README.md,results/markdown_table_check.csv,results/markdown_table_check.csv,True
README.md,results/monte_carlo_summary.csv,results/monte_carlo_summary.csv,True
README.md,results/operational_cost_estimates.csv,results/operational_cost_estimates.csv,True
README.md,results/operational_fit_rankings.csv,results/operational_fit_rankings.csv,True
README.md,results/pareto_frontier.csv,results/pareto_frontier.csv,True
README.md,results/pilot_decision_scores.example.csv,results/pilot_decision_scores.example.csv,True
README.md,results/pilot_sample_size_estimates.csv,results/pilot_sample_size_estimates.csv,True
README.md,results/rank_stability.csv,results/rank_stability.csv,True
README.md,results/recommendation_rationale.csv,results/recommendation_rationale.csv,True
README.md,results/regret_analysis.csv,results/regret_analysis.csv,True
README.md,results/risk_validation_matrix.csv,results/risk_validation_matrix.csv,True
README.md,results/scenario_playbook_summary.csv,results/scenario_playbook_summary.csv,True
README.md,results/scenario_weights.csv,results/scenario_weights.csv,True
README.md,results/score_driver_summary.csv,results/score_driver_summary.csv,True
README.md,results/sensitivity_summary.csv,results/sensitivity_summary.csv,True
README.md,results/source_check.csv,results/source_check.csv,True
README.md,results/stress_test_rankings.csv,results/stress_test_rankings.csv,True
README.md,results/stress_test_summary.csv,results/stress_test_summary.csv,True
README.md,results/uncertainty_stress_details.csv,results/uncertainty_stress_details.csv,True
README.md,results/uncertainty_stress_summary.csv,results/uncertainty_stress_summary.csv,True
README.md,scripts/analyze_evidence_gaps.py,scripts/analyze_evidence_gaps.py,True
README.md,scripts/analyze_score_drivers.py,scripts/analyze_score_drivers.py,True
README.md,scripts/build_github_metadata_report.py,scripts/build_github_metadata_report.py,True
README.md,scripts/build_recommendation_rationale.py,scripts/build_recommendation_rationale.py,True
README.md,scripts/build_report_bundle.py,scripts/build_report_bundle.py,True
README.md,scripts/build_results_data_dictionary.py,scripts/build_results_data_dictionary.py,True
README.md,scripts/build_risk_validation_matrix.py,scripts/build_risk_validation_matrix.py,True
README.md,scripts/build_scenario_playbooks.py,scripts/build_scenario_playbooks.py,True
README.md,scripts/check_local_artifact_references.py,scripts/check_local_artifact_references.py,True
README.md,scripts/check_sources.py,scripts/check_sources.py,True
README.md,scripts/estimate_implementation_effort.py,scripts/estimate_implementation_effort.py,True
README.md,scripts/estimate_operational_costs.py,scripts/estimate_operational_costs.py,True
README.md,scripts/estimate_pilot_sample_sizes.py,scripts/estimate_pilot_sample_sizes.py,True
README.md,scripts/generate_artifact_manifest.py,scripts/generate_artifact_manifest.py,True
README.md,scripts/generate_charts.py,scripts/generate_charts.py,True
README.md,scripts/license_audit.py,scripts/license_audit.py,True
README.md,scripts/rank_with_custom_weights.py,scripts/rank_with_custom_weights.py,True
README.md,scripts/refresh_github_metadata.py,scripts/refresh_github_metadata.py,True
README.md,scripts/run_all_checks.ps1,scripts/run_all_checks.ps1,True
README.md,scripts/run_all_checks.py,scripts/run_all_checks.py,True
README.md,scripts/score_pilot_results.py,scripts/score_pilot_results.py,True
README.md,scripts/simulate_alternatives.py,scripts/simulate_alternatives.py,True
README.md,scripts/stress_test_simulation.py,scripts/stress_test_simulation.py,True
README.md,scripts/validate_artifacts.py,scripts/validate_artifacts.py,True
README.md,scripts/validate_csv_schemas.py,scripts/validate_csv_schemas.py,True
README.md,scripts/validate_markdown_tables.py,scripts/validate_markdown_tables.py,True
README.md,tests/test_simulation_model.py,tests/test_simulation_model.py,True
reports/adoption_decision_record.md,data/pilot_decision_model.json,data/pilot_decision_model.json,True
reports/adoption_decision_record.md,scripts/score_pilot_results.py,scripts/score_pilot_results.py,True
reports/ai_orchestrator_frameworks_report.md,assets/rank_stability.svg,reports/assets/rank_stability.svg,True
reports/ai_orchestrator_frameworks_report.md,assets/scenario_regret.svg,reports/assets/scenario_regret.svg,True
reports/ai_orchestrator_frameworks_report.md,ci/validate-workflow.example.yml,ci/validate-workflow.example.yml,True
reports/ai_orchestrator_frameworks_report.md,data/alternatives.json,data/alternatives.json,True
reports/ai_orchestrator_frameworks_report.md,data/candidate_taxonomy.json,data/candidate_taxonomy.json,True
reports/ai_orchestrator_frameworks_report.md,data/operational_cost_model.json,data/operational_cost_model.json,True
reports/ai_orchestrator_frameworks_report.md,data/pilot_decision_model.json,data/pilot_decision_model.json,True
reports/ai_orchestrator_frameworks_report.md,data/pilot_sample_size_model.json,data/pilot_sample_size_model.json,True
reports/ai_orchestrator_frameworks_report.md,data/pilot_tasks.json,data/pilot_tasks.json,True
reports/ai_orchestrator_frameworks_report.md,data/risk_register.json,data/risk_register.json,True
reports/ai_orchestrator_frameworks_report.md,data/scenario_profiles.json,data/scenario_profiles.json,True
reports/ai_orchestrator_frameworks_report.md,data/scoring_rubric.json,data/scoring_rubric.json,True
reports/ai_orchestrator_frameworks_report.md,data/security_evaluation_fixtures.json,data/security_evaluation_fixtures.json,True
reports/ai_orchestrator_frameworks_report.md,data/simulation_assumptions.json,data/simulation_assumptions.json,True
reports/ai_orchestrator_frameworks_report.md,data/traceability_matrix.json,data/traceability_matrix.json,True
reports/ai_orchestrator_frameworks_report.md,examples/custom_weights.example.json,examples/custom_weights.example.json,True
reports/ai_orchestrator_frameworks_report.md,examples/pilot_adapter_contract.py,examples/pilot_adapter_contract.py,True
reports/ai_orchestrator_frameworks_report.md,examples/pilot_candidate_summary.example.csv,examples/pilot_candidate_summary.example.csv,True
reports/ai_orchestrator_frameworks_report.md,reports/adoption_decision_record.md,reports/adoption_decision_record.md,True
reports/ai_orchestrator_frameworks_report.md,reports/artifact_index.md,reports/artifact_index.md,True
reports/ai_orchestrator_frameworks_report.md,reports/candidate_taxonomy.md,reports/candidate_taxonomy.md,True
reports/ai_orchestrator_frameworks_report.md,reports/decision_tree.md,reports/decision_tree.md,True
reports/ai_orchestrator_frameworks_report.md,reports/environment_prerequisites.md,reports/environment_prerequisites.md,True
reports/ai_orchestrator_frameworks_report.md,reports/evidence_gap_analysis.md,reports/evidence_gap_analysis.md,True
reports/ai_orchestrator_frameworks_report.md,reports/exclusions.md,reports/exclusions.md,True
reports/ai_orchestrator_frameworks_report.md,reports/executive_brief.md,reports/executive_brief.md,True
reports/ai_orchestrator_frameworks_report.md,reports/faq.md,reports/faq.md,True
reports/ai_orchestrator_frameworks_report.md,reports/final_report_bundle.md,reports/final_report_bundle.md,True
reports/ai_orchestrator_frameworks_report.md,reports/github_metadata_check.md,reports/github_metadata_check.md,True
reports/ai_orchestrator_frameworks_report.md,reports/glossary.md,reports/glossary.md,True
reports/ai_orchestrator_frameworks_report.md,reports/implementation_blueprints.md,reports/implementation_blueprints.md,True
reports/ai_orchestrator_frameworks_report.md,reports/maintenance_guide.md,reports/maintenance_guide.md,True
reports/ai_orchestrator_frameworks_report.md,reports/methodology_appendix.md,reports/methodology_appendix.md,True
reports/ai_orchestrator_frameworks_report.md,reports/operational_cost_model.md,reports/operational_cost_model.md,True
reports/ai_orchestrator_frameworks_report.md,reports/pilot_protocol.md,reports/pilot_protocol.md,True
reports/ai_orchestrator_frameworks_report.md,reports/pilot_sample_size.md,reports/pilot_sample_size.md,True
reports/ai_orchestrator_frameworks_report.md,reports/presentation_outline.md,reports/presentation_outline.md,True
reports/ai_orchestrator_frameworks_report.md,reports/recommendation_rationale.md,reports/recommendation_rationale.md,True
reports/ai_orchestrator_frameworks_report.md,reports/release_notes.md,reports/release_notes.md,True
reports/ai_orchestrator_frameworks_report.md,reports/requirements_traceability.md,reports/requirements_traceability.md,True
reports/ai_orchestrator_frameworks_report.md,reports/residual_risks.md,reports/residual_risks.md,True
reports/ai_orchestrator_frameworks_report.md,reports/results_data_dictionary.md,reports/results_data_dictionary.md,True
reports/ai_orchestrator_frameworks_report.md,reports/risk_validation_matrix.md,reports/risk_validation_matrix.md,True
reports/ai_orchestrator_frameworks_report.md,reports/scenario_playbooks.md,reports/scenario_playbooks.md,True
reports/ai_orchestrator_frameworks_report.md,reports/score_driver_summary.md,reports/score_driver_summary.md,True
reports/ai_orchestrator_frameworks_report.md,reports/security_evaluation_fixtures.md,reports/security_evaluation_fixtures.md,True
reports/ai_orchestrator_frameworks_report.md,reports/simulation_assumptions.md,reports/simulation_assumptions.md,True
reports/ai_orchestrator_frameworks_report.md,reports/validation_summary.md,reports/validation_summary.md,True
reports/ai_orchestrator_frameworks_report.md,results/all_results.json,results/all_results.json,True
reports/ai_orchestrator_frameworks_report.md,results/alternative_scorecards.csv,results/alternative_scorecards.csv,True
reports/ai_orchestrator_frameworks_report.md,results/artifact_manifest.csv,results/artifact_manifest.csv,True
reports/ai_orchestrator_frameworks_report.md,results/category_scores.csv,results/category_scores.csv,True
reports/ai_orchestrator_frameworks_report.md,results/criteria_definitions.csv,results/criteria_definitions.csv,True
reports/ai_orchestrator_frameworks_report.md,results/criterion_spread_summary.csv,results/criterion_spread_summary.csv,True
reports/ai_orchestrator_frameworks_report.md,results/csv_schema_check.csv,results/csv_schema_check.csv,True
reports/ai_orchestrator_frameworks_report.md,results/custom_weights_example_rankings.csv,results/custom_weights_example_rankings.csv,True
reports/ai_orchestrator_frameworks_report.md,results/decision_shortlist.csv,results/decision_shortlist.csv,True
reports/ai_orchestrator_frameworks_report.md,results/deterministic_rankings.csv,results/deterministic_rankings.csv,True
reports/ai_orchestrator_frameworks_report.md,results/evidence_gap_analysis.csv,results/evidence_gap_analysis.csv,True
reports/ai_orchestrator_frameworks_report.md,results/evidence_matrix.csv,results/evidence_matrix.csv,True
reports/ai_orchestrator_frameworks_report.md,results/github_metadata_check.csv,results/github_metadata_check.csv,True
reports/ai_orchestrator_frameworks_report.md,results/implementation_effort_estimates.csv,results/implementation_effort_estimates.csv,True
reports/ai_orchestrator_frameworks_report.md,results/license_audit.csv,results/license_audit.csv,True
reports/ai_orchestrator_frameworks_report.md,results/local_artifact_reference_check.csv,results/local_artifact_reference_check.csv,True
reports/ai_orchestrator_frameworks_report.md,results/markdown_table_check.csv,results/markdown_table_check.csv,True
reports/ai_orchestrator_frameworks_report.md,results/monte_carlo_summary.csv,results/monte_carlo_summary.csv,True
reports/ai_orchestrator_frameworks_report.md,results/operational_cost_estimates.csv,results/operational_cost_estimates.csv,True
reports/ai_orchestrator_frameworks_report.md,results/operational_fit_rankings.csv,results/operational_fit_rankings.csv,True
reports/ai_orchestrator_frameworks_report.md,results/pareto_frontier.csv,results/pareto_frontier.csv,True
reports/ai_orchestrator_frameworks_report.md,results/pilot_decision_scores.example.csv,results/pilot_decision_scores.example.csv,True
reports/ai_orchestrator_frameworks_report.md,results/pilot_sample_size_estimates.csv,results/pilot_sample_size_estimates.csv,True
reports/ai_orchestrator_frameworks_report.md,results/rank_stability.csv,results/rank_stability.csv,True
reports/ai_orchestrator_frameworks_report.md,results/recommendation_rationale.csv,results/recommendation_rationale.csv,True
reports/ai_orchestrator_frameworks_report.md,results/regret_analysis.csv,results/regret_analysis.csv,True
reports/ai_orchestrator_frameworks_report.md,results/risk_validation_matrix.csv,results/risk_validation_matrix.csv,True
reports/ai_orchestrator_frameworks_report.md,results/scenario_playbook_summary.csv,results/scenario_playbook_summary.csv,True
reports/ai_orchestrator_frameworks_report.md,results/scenario_weights.csv,results/scenario_weights.csv,True
reports/ai_orchestrator_frameworks_report.md,results/score_driver_summary.csv,results/score_driver_summary.csv,True
reports/ai_orchestrator_frameworks_report.md,results/sensitivity_summary.csv,results/sensitivity_summary.csv,True
reports/ai_orchestrator_frameworks_report.md,results/source_check.csv,results/source_check.csv,True
reports/ai_orchestrator_frameworks_report.md,results/stress_test_rankings.csv,results/stress_test_rankings.csv,True
reports/ai_orchestrator_frameworks_report.md,results/stress_test_summary.csv,results/stress_test_summary.csv,True
reports/ai_orchestrator_frameworks_report.md,results/uncertainty_stress_details.csv,results/uncertainty_stress_details.csv,True
reports/ai_orchestrator_frameworks_report.md,results/uncertainty_stress_summary.csv,results/uncertainty_stress_summary.csv,True
reports/ai_orchestrator_frameworks_report.md,scripts/check_local_artifact_references.py,scripts/check_local_artifact_references.py,True
reports/ai_orchestrator_frameworks_report.md,scripts/estimate_operational_costs.py,scripts/estimate_operational_costs.py,True
reports/ai_orchestrator_frameworks_report.md,scripts/generate_artifact_manifest.py,scripts/generate_artifact_manifest.py,True
reports/ai_orchestrator_frameworks_report.md,scripts/rank_with_custom_weights.py,scripts/rank_with_custom_weights.py,True
reports/ai_orchestrator_frameworks_report.md,scripts/run_all_checks.py,scripts/run_all_checks.py,True
reports/ai_orchestrator_frameworks_report.md,scripts/score_pilot_results.py,scripts/score_pilot_results.py,True
reports/ai_orchestrator_frameworks_report.md,scripts/simulate_alternatives.py,scripts/simulate_alternatives.py,True
reports/ai_orchestrator_frameworks_report.md,scripts/stress_test_simulation.py,scripts/stress_test_simulation.py,True
reports/ai_orchestrator_frameworks_report.md,scripts/validate_artifacts.py,scripts/validate_artifacts.py,True
reports/ai_orchestrator_frameworks_report.md,scripts/validate_csv_schemas.py,scripts/validate_csv_schemas.py,True
reports/artifact_index.md,data/alternatives.json,data/alternatives.json,True
reports/artifact_index.md,data/candidate_taxonomy.json,data/candidate_taxonomy.json,True
reports/artifact_index.md,data/decision_tree.json,data/decision_tree.json,True
reports/artifact_index.md,data/operational_cost_model.json,data/operational_cost_model.json,True
reports/artifact_index.md,data/pilot_decision_model.json,data/pilot_decision_model.json,True
reports/artifact_index.md,data/pilot_sample_size_model.json,data/pilot_sample_size_model.json,True
reports/artifact_index.md,data/pilot_tasks.json,data/pilot_tasks.json,True
reports/artifact_index.md,data/risk_register.json,data/risk_register.json,True
reports/artifact_index.md,data/scenario_profiles.json,data/scenario_profiles.json,True
reports/artifact_index.md,data/scoring_rubric.json,data/scoring_rubric.json,True
reports/artifact_index.md,data/security_evaluation_fixtures.json,data/security_evaluation_fixtures.json,True
reports/artifact_index.md,data/simulation_assumptions.json,data/simulation_assumptions.json,True
reports/artifact_index.md,data/traceability_matrix.json,data/traceability_matrix.json,True
reports/artifact_index.md,examples/custom_weights.example.json,examples/custom_weights.example.json,True
reports/artifact_index.md,examples/pilot_adapter_contract.py,examples/pilot_adapter_contract.py,True
reports/artifact_index.md,examples/pilot_candidate_summary.example.csv,examples/pilot_candidate_summary.example.csv,True
reports/artifact_index.md,reports/adoption_decision_record.md,reports/adoption_decision_record.md,True
reports/artifact_index.md,reports/ai_orchestrator_frameworks_report.md,reports/ai_orchestrator_frameworks_report.md,True
reports/artifact_index.md,reports/assets/criterion_spread.svg,reports/assets/criterion_spread.svg,True
reports/artifact_index.md,reports/assets/operational_hours.svg,reports/assets/operational_hours.svg,True
reports/artifact_index.md,reports/assets/rank_stability.svg,reports/assets/rank_stability.svg,True
reports/artifact_index.md,reports/assets/scenario_regret.svg,reports/assets/scenario_regret.svg,True
reports/artifact_index.md,reports/candidate_taxonomy.md,reports/candidate_taxonomy.md,True
reports/artifact_index.md,reports/decision_tree.md,reports/decision_tree.md,True
reports/artifact_index.md,reports/environment_prerequisites.md,reports/environment_prerequisites.md,True
reports/artifact_index.md,reports/evidence_gap_analysis.md,reports/evidence_gap_analysis.md,True
reports/artifact_index.md,reports/exclusions.md,reports/exclusions.md,True
reports/artifact_index.md,reports/executive_brief.md,reports/executive_brief.md,True
reports/artifact_index.md,reports/faq.md,reports/faq.md,True
reports/artifact_index.md,reports/final_report_bundle.md,reports/final_report_bundle.md,True
reports/artifact_index.md,reports/github_metadata_check.md,reports/github_metadata_check.md,True
reports/artifact_index.md,reports/glossary.md,reports/glossary.md,True
reports/artifact_index.md,reports/implementation_blueprints.md,reports/implementation_blueprints.md,True
reports/artifact_index.md,reports/maintenance_guide.md,reports/maintenance_guide.md,True
reports/artifact_index.md,reports/methodology_appendix.md,reports/methodology_appendix.md,True
reports/artifact_index.md,reports/operational_cost_model.md,reports/operational_cost_model.md,True
reports/artifact_index.md,reports/pilot_protocol.md,reports/pilot_protocol.md,True
reports/artifact_index.md,reports/pilot_sample_size.md,reports/pilot_sample_size.md,True
reports/artifact_index.md,reports/presentation_outline.md,reports/presentation_outline.md,True
reports/artifact_index.md,reports/recommendation_rationale.md,reports/recommendation_rationale.md,True
reports/artifact_index.md,reports/release_notes.md,reports/release_notes.md,True
reports/artifact_index.md,reports/requirements_traceability.md,reports/requirements_traceability.md,True
reports/artifact_index.md,reports/residual_risks.md,reports/residual_risks.md,True
reports/artifact_index.md,reports/results_data_dictionary.md,reports/results_data_dictionary.md,True
reports/artifact_index.md,reports/risk_validation_matrix.md,reports/risk_validation_matrix.md,True
reports/artifact_index.md,reports/scenario_playbooks.md,reports/scenario_playbooks.md,True
reports/artifact_index.md,reports/score_driver_summary.md,reports/score_driver_summary.md,True
reports/artifact_index.md,reports/security_evaluation_fixtures.md,reports/security_evaluation_fixtures.md,True
reports/artifact_index.md,reports/simulation_assumptions.md,reports/simulation_assumptions.md,True
reports/artifact_index.md,reports/validation_summary.md,reports/validation_summary.md,True
