scenario,top_candidate,comparison_rank,comparison_candidate,score_gap,estimated_top_success_rate,estimated_comparison_success_rate,tasks_per_candidate,simulation_trials,top_wins_probability,tie_probability,decision_confidence_target,recommendation
custom_orchestrator_platform,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.0007352941176472783,0.8143617647058824,0.8142985294117647,10,5000,0.3758,0.2268,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.0007352941176472783,0.8143617647058824,0.8142985294117647,20,5000,0.4194,0.1624,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.0007352941176472783,0.8143617647058824,0.8142985294117647,30,5000,0.4306,0.1356,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.0007352941176472783,0.8143617647058824,0.8142985294117647,40,5000,0.4458,0.1166,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.0007352941176472783,0.8143617647058824,0.8142985294117647,60,5000,0.4556,0.0942,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,3,Deep Agents,0.02279411764705941,0.8143617647058824,0.8124014705882353,10,5000,0.3894,0.23,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,3,Deep Agents,0.02279411764705941,0.8143617647058824,0.8124014705882353,20,5000,0.428,0.1602,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,3,Deep Agents,0.02279411764705941,0.8143617647058824,0.8124014705882353,30,5000,0.4442,0.1284,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,3,Deep Agents,0.02279411764705941,0.8143617647058824,0.8124014705882353,40,5000,0.4544,0.1172,0.8,Increase tasks or treat as unresolved
custom_orchestrator_platform,Cline / Cline SDK,3,Deep Agents,0.02279411764705941,0.8143617647058824,0.8124014705882353,60,5000,0.469,0.0934,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,2,OpenHands Software Agent SDK,0.02173913043478315,0.8130072463768117,0.8111376811594202,10,5000,0.3904,0.2368,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,2,OpenHands Software Agent SDK,0.02173913043478315,0.8130072463768117,0.8111376811594202,20,5000,0.4172,0.1576,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,2,OpenHands Software Agent SDK,0.02173913043478315,0.8130072463768117,0.8111376811594202,30,5000,0.4558,0.1274,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,2,OpenHands Software Agent SDK,0.02173913043478315,0.8130072463768117,0.8111376811594202,40,5000,0.4498,0.1156,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,2,OpenHands Software Agent SDK,0.02173913043478315,0.8130072463768117,0.8111376811594202,60,5000,0.4682,0.097,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,3,Cline / Cline SDK,0.02246376811594253,0.8130072463768117,0.8110753623188405,10,5000,0.3908,0.2324,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,3,Cline / Cline SDK,0.02246376811594253,0.8130072463768117,0.8110753623188405,20,5000,0.437,0.1588,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,3,Cline / Cline SDK,0.02246376811594253,0.8130072463768117,0.8110753623188405,30,5000,0.4422,0.129,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,3,Cline / Cline SDK,0.02246376811594253,0.8130072463768117,0.8110753623188405,40,5000,0.4414,0.1114,0.8,Increase tasks or treat as unresolved
secure_autonomous_prs,Codex CLI,3,Cline / Cline SDK,0.02246376811594253,0.8130072463768117,0.8110753623188405,60,5000,0.468,0.0978,0.8,Increase tasks or treat as unresolved
quick_local_coding,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.13852459016393492,0.825227868852459,0.8133147540983607,10,5000,0.405,0.231,0.8,Increase tasks or treat as unresolved
quick_local_coding,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.13852459016393492,0.825227868852459,0.8133147540983607,20,5000,0.4492,0.1648,0.8,Increase tasks or treat as unresolved
quick_local_coding,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.13852459016393492,0.825227868852459,0.8133147540983607,30,5000,0.4858,0.1416,0.8,Increase tasks or treat as unresolved
quick_local_coding,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.13852459016393492,0.825227868852459,0.8133147540983607,40,5000,0.5,0.1186,0.8,Increase tasks or treat as unresolved
quick_local_coding,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.13852459016393492,0.825227868852459,0.8133147540983607,60,5000,0.5198,0.084,0.8,Increase tasks or treat as unresolved
quick_local_coding,Cline / Cline SDK,3,OpenCode,0.23196721311475432,0.825227868852459,0.8052786885245902,10,5000,0.4272,0.2336,0.8,Increase tasks or treat as unresolved
quick_local_coding,Cline / Cline SDK,3,OpenCode,0.23196721311475432,0.825227868852459,0.8052786885245902,20,5000,0.4808,0.1684,0.8,Increase tasks or treat as unresolved
quick_local_coding,Cline / Cline SDK,3,OpenCode,0.23196721311475432,0.825227868852459,0.8052786885245902,30,5000,0.5128,0.1342,0.8,Increase tasks or treat as unresolved
quick_local_coding,Cline / Cline SDK,3,OpenCode,0.23196721311475432,0.825227868852459,0.8052786885245902,40,5000,0.536,0.1086,0.8,Increase tasks or treat as unresolved
quick_local_coding,Cline / Cline SDK,3,OpenCode,0.23196721311475432,0.825227868852459,0.8052786885245902,60,5000,0.5684,0.086,0.8,Increase tasks or treat as unresolved
research_benchmarking,mini-SWE-agent,2,SWE-agent,0.11206896551724199,0.8246189655172413,0.8149810344827586,10,5000,0.4014,0.232,0.8,Increase tasks or treat as unresolved
research_benchmarking,mini-SWE-agent,2,SWE-agent,0.11206896551724199,0.8246189655172413,0.8149810344827586,20,5000,0.4504,0.1628,0.8,Increase tasks or treat as unresolved
research_benchmarking,mini-SWE-agent,2,SWE-agent,0.11206896551724199,0.8246189655172413,0.8149810344827586,30,5000,0.4678,0.134,0.8,Increase tasks or treat as unresolved
research_benchmarking,mini-SWE-agent,2,SWE-agent,0.11206896551724199,0.8246189655172413,0.8149810344827586,40,5000,0.474,0.1226,0.8,Increase tasks or treat as unresolved
research_benchmarking,mini-SWE-agent,2,SWE-agent,0.11206896551724199,0.8246189655172413,0.8149810344827586,60,5000,0.5184,0.095,0.8,Increase tasks or treat as unresolved
research_benchmarking,mini-SWE-agent,3,OpenHands Software Agent SDK,0.1698275862068961,0.8246189655172413,0.8100137931034483,10,5000,0.4128,0.2326,0.8,Increase tasks or treat as unresolved
research_benchmarking,mini-SWE-agent,3,OpenHands Software Agent SDK,0.1698275862068961,0.8246189655172413,0.8100137931034483,20,5000,0.4596,0.1638,0.8,Increase tasks or treat as unresolved
research_benchmarking,mini-SWE-agent,3,OpenHands Software Agent SDK,0.1698275862068961,0.8246189655172413,0.8100137931034483,30,5000,0.4986,0.1298,0.8,Increase tasks or treat as unresolved
research_benchmarking,mini-SWE-agent,3,OpenHands Software Agent SDK,0.1698275862068961,0.8246189655172413,0.8100137931034483,40,5000,0.5038,0.1226,0.8,Increase tasks or treat as unresolved
research_benchmarking,mini-SWE-agent,3,OpenHands Software Agent SDK,0.1698275862068961,0.8246189655172413,0.8100137931034483,60,5000,0.5286,0.098,0.8,Increase tasks or treat as unresolved
enterprise_control_plane,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.06369863013698662,0.8177972602739727,0.8123191780821918,10,5000,0.4028,0.2204,0.8,Increase tasks or treat as unresolved
enterprise_control_plane,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.06369863013698662,0.8177972602739727,0.8123191780821918,20,5000,0.4362,0.1654,0.8,Increase tasks or treat as unresolved
enterprise_control_plane,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.06369863013698662,0.8177972602739727,0.8123191780821918,30,5000,0.4716,0.1276,0.8,Increase tasks or treat as unresolved
enterprise_control_plane,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.06369863013698662,0.8177972602739727,0.8123191780821918,40,5000,0.4584,0.1128,0.8,Increase tasks or treat as unresolved
enterprise_control_plane,Cline / Cline SDK,2,OpenHands Software Agent SDK,0.06369863013698662,0.8177972602739727,0.8123191780821918,60,5000,0.4918,0.093,0.8,Increase tasks or treat as unresolved
enterprise_control_plane,Cline / Cline SDK,3,Deep Agents,0.09246575342465757,0.8177972602739727,0.809845205479452,10,5000,0.393,0.2392,0.8,Increase tasks or treat as unresolved
enterprise_control_plane,Cline / Cline SDK,3,Deep Agents,0.09246575342465757,0.8177972602739727,0.809845205479452,20,5000,0.4442,0.1594,0.8,Increase tasks or treat as unresolved
enterprise_control_plane,Cline / Cline SDK,3,Deep Agents,0.09246575342465757,0.8177972602739727,0.809845205479452,30,5000,0.4724,0.126,0.8,Increase tasks or treat as unresolved
enterprise_control_plane,Cline / Cline SDK,3,Deep Agents,0.09246575342465757,0.8177972602739727,0.809845205479452,40,5000,0.4908,0.1114,0.8,Increase tasks or treat as unresolved
enterprise_control_plane,Cline / Cline SDK,3,Deep Agents,0.09246575342465757,0.8177972602739727,0.809845205479452,60,5000,0.4968,0.0904,0.8,Increase tasks or treat as unresolved
