scenario,rank,alternative_id,alternative,posture,score_gap_to_leader,win_rate,top3_rate,evidence_risk_band,prototype_effort,hardening_effort,pilot_operational_rank,team_rollout_operational_rank,autonomous_pr_operational_rank,key_rationale
custom_orchestrator_platform,1,cline,Cline / Cline SDK,Head-to-head pilot,0.0,0.3118,0.8304,low,2-5 days,2-4 weeks,1,1,1,scenario score leader; strong Monte Carlo shortlist stability (83% top-3 rate); leader is close enough that a head-to-head pilot is still required; low evidence-risk band; stays in the top three after operational-friction adjustment.
custom_orchestrator_platform,2,openhands_sdk,OpenHands Software Agent SDK,Head-to-head pilot,0.001,0.327,0.8508,low,2-5 days,2-4 weeks,2,2,2,near-tie with the leader (0.001 score gap); strong Monte Carlo shortlist stability (85% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
custom_orchestrator_platform,3,deep_agents,Deep Agents,Head-to-head pilot,0.023,0.2306,0.617,low,2-5 days,2-4 weeks,3,3,3,near-tie with the leader (0.023 score gap); moderate Monte Carlo shortlist stability (62% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
custom_orchestrator_platform,4,open_swe,Open SWE,Watchlist only,0.147,0.0432,0.2168,low,1-2 weeks,6-12 weeks,4,4,4,0.147 behind the scenario leader; fragile Monte Carlo shortlist position (22% top-3 rate); low evidence-risk band; 6-12 weeks hardening estimate; operational rank is broadly consistent with simulation rank.
custom_orchestrator_platform,5,openhands_agent_canvas,OpenHands Agent Canvas,Watchlist only,0.179,0.0354,0.1792,low,3-7 days,3-6 weeks,6,6,6,0.179 behind the scenario leader; fragile Monte Carlo shortlist position (18% top-3 rate); low evidence-risk band; 3-6 weeks hardening estimate; operational rank is broadly consistent with simulation rank.
secure_autonomous_prs,1,codex_cli,Codex CLI,Head-to-head pilot,0.0,0.2844,0.7592,low,1-2 days,1-2 weeks,1,1,1,scenario score leader; strong Monte Carlo shortlist stability (76% top-3 rate); leader is close enough that a head-to-head pilot is still required; low evidence-risk band; stays in the top three after operational-friction adjustment.
secure_autonomous_prs,2,openhands_sdk,OpenHands Software Agent SDK,Head-to-head pilot,0.022,0.2086,0.6894,low,2-5 days,2-4 weeks,3,3,3,near-tie with the leader (0.022 score gap); moderate Monte Carlo shortlist stability (69% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
secure_autonomous_prs,3,cline,Cline / Cline SDK,Head-to-head pilot,0.022,0.2318,0.6656,low,2-5 days,2-4 weeks,2,2,2,near-tie with the leader (0.022 score gap); moderate Monte Carlo shortlist stability (67% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
secure_autonomous_prs,4,open_swe,Open SWE,Fallback or benchmark,0.079,0.1048,0.3372,low,1-2 weeks,6-12 weeks,4,4,4,0.079 behind the scenario leader; fragile Monte Carlo shortlist position (34% top-3 rate); low evidence-risk band; 6-12 weeks hardening estimate; operational rank is broadly consistent with simulation rank.
secure_autonomous_prs,5,deep_agents,Deep Agents,Fallback or benchmark,0.11,0.0858,0.2804,low,2-5 days,2-4 weeks,5,5,5,0.110 behind the scenario leader; fragile Monte Carlo shortlist position (28% top-3 rate); low evidence-risk band; operational rank is broadly consistent with simulation rank.
quick_local_coding,1,cline,Cline / Cline SDK,Primary pilot candidate,0.0,0.8194,0.9892,low,2-5 days,2-4 weeks,1,1,1,scenario score leader; strong Monte Carlo shortlist stability (99% top-3 rate); credible win-rate signal (82%); low evidence-risk band; stays in the top three after operational-friction adjustment.
quick_local_coding,2,openhands_sdk,OpenHands Software Agent SDK,Head-to-head pilot,0.139,0.1098,0.8166,low,2-5 days,2-4 weeks,2,2,2,0.139 behind the scenario leader; strong Monte Carlo shortlist stability (82% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
quick_local_coding,3,opencode,OpenCode,Fallback or benchmark,0.232,0.0112,0.3792,low,0.5-1 day,2-4 weeks,4,5,5,0.232 behind the scenario leader; fragile Monte Carlo shortlist position (38% top-3 rate); low evidence-risk band; operational friction can push it down in rollout profiles.
quick_local_coding,4,deep_agents,Deep Agents,Fallback or benchmark,0.265,0.032,0.2818,low,2-5 days,2-4 weeks,5,4,4,0.265 behind the scenario leader; fragile Monte Carlo shortlist position (28% top-3 rate); low evidence-risk band; operational rank is broadly consistent with simulation rank.
quick_local_coding,5,codex_cli,Codex CLI,Watchlist only,0.272,0.0066,0.2384,low,1-2 days,1-2 weeks,3,3,3,0.272 behind the scenario leader; fragile Monte Carlo shortlist position (24% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
research_benchmarking,1,mini_swe_agent,mini-SWE-agent,Primary pilot candidate,0.0,0.447,0.7968,low,0.5-1 day,2-4 weeks,1,1,1,scenario score leader; strong Monte Carlo shortlist stability (80% top-3 rate); credible win-rate signal (45%); low evidence-risk band; stays in the top three after operational-friction adjustment.
research_benchmarking,2,swe_agent,SWE-agent,Head-to-head pilot,0.112,0.233,0.7566,low,1-2 days,1-2 weeks,2,2,2,0.112 behind the scenario leader; strong Monte Carlo shortlist stability (76% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
research_benchmarking,3,openhands_sdk,OpenHands Software Agent SDK,Head-to-head pilot,0.17,0.165,0.6402,low,2-5 days,2-4 weeks,3,3,3,0.170 behind the scenario leader; moderate Monte Carlo shortlist stability (64% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
research_benchmarking,4,aider,Aider,Watchlist only,0.31,0.0262,0.2374,low,0.5-1 day,2-4 weeks,5,5,5,0.310 behind the scenario leader; fragile Monte Carlo shortlist position (24% top-3 rate); low evidence-risk band; operational rank is broadly consistent with simulation rank.
research_benchmarking,5,deep_agents,Deep Agents,Fallback or benchmark,0.326,0.0894,0.29,low,2-5 days,2-4 weeks,4,4,4,0.326 behind the scenario leader; fragile Monte Carlo shortlist position (29% top-3 rate); low evidence-risk band; operational rank is broadly consistent with simulation rank.
enterprise_control_plane,1,cline,Cline / Cline SDK,Primary pilot candidate,0.0,0.5084,0.9236,low,2-5 days,2-4 weeks,1,1,1,scenario score leader; strong Monte Carlo shortlist stability (92% top-3 rate); credible win-rate signal (51%); low evidence-risk band; stays in the top three after operational-friction adjustment.
enterprise_control_plane,2,openhands_sdk,OpenHands Software Agent SDK,Head-to-head pilot,0.064,0.2012,0.7814,low,2-5 days,2-4 weeks,2,2,2,0.064 behind the scenario leader; strong Monte Carlo shortlist stability (78% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
enterprise_control_plane,3,deep_agents,Deep Agents,Fallback or benchmark,0.092,0.1574,0.5328,low,2-5 days,2-4 weeks,3,3,3,0.092 behind the scenario leader; moderate Monte Carlo shortlist stability (53% top-3 rate); low evidence-risk band; stays in the top three after operational-friction adjustment.
enterprise_control_plane,4,codex_cli,Codex CLI,Watchlist only,0.187,0.0168,0.216,low,1-2 days,1-2 weeks,4,4,4,0.187 behind the scenario leader; fragile Monte Carlo shortlist position (22% top-3 rate); low evidence-risk band; operational rank is broadly consistent with simulation rank.
enterprise_control_plane,5,open_swe,Open SWE,Watchlist only,0.21,0.033,0.1696,low,1-2 weeks,6-12 weeks,5,5,5,0.210 behind the scenario leader; fragile Monte Carlo shortlist position (17% top-3 rate); low evidence-risk band; 6-12 weeks hardening estimate; operational rank is broadly consistent with simulation rank.
