scenario,sandbox_id,sandbox,mean_score,p10_score,p90_score,mean_rank,win_rate,top3_rate,trials
local_developer_agents,kubernetes_hardened_pods,Kubernetes hardened pods,3.9572,3.8887,4.0247,3.1513,0.2248,0.6475,4000
local_developer_agents,daytona,Daytona sandboxes,3.9581,3.8711,4.043,3.3715,0.2675,0.6248,4000
local_developer_agents,flue_virtual_sandbox,Flue virtual sandbox,3.9554,3.8501,4.0622,3.668,0.3078,0.5965,4000
local_developer_agents,docker_rootless,Docker rootless containers,3.9205,3.8544,3.9864,4.6508,0.0775,0.361,4000
local_developer_agents,podman_rootless,Podman rootless containers,3.8931,3.8263,3.9616,5.9625,0.0307,0.1862,4000
local_developer_agents,firecracker_microvm,Firecracker microVMs,3.8826,3.8113,3.9544,6.4287,0.023,0.1575,4000
local_developer_agents,gvisor_runsc,gVisor runsc,3.867,3.8003,3.934,7.1895,0.0088,0.0818,4000
local_developer_agents,kata_containers,Kata Containers,3.8599,3.7873,3.9308,7.519,0.008,0.0747,4000
local_developer_agents,openhands_runtime_api,OpenHands runtime API sandbox,3.8469,3.7502,3.942,7.8185,0.0215,0.1065,4000
local_developer_agents,sandcastle_providers,Sandcastle provider sandboxes,3.8352,3.7262,3.9458,8.2007,0.0255,0.112,4000
local_developer_agents,e2b,E2B sandboxes,3.8285,3.7459,3.9109,8.644,0.005,0.051,4000
local_developer_agents,codex_sandbox,Codex sandbox and approvals,3.7011,3.6059,3.7959,12.071,0.0,0.0005,4000
local_developer_agents,modal_sandboxes,Modal Sandboxes,3.6563,3.5724,3.739,12.9072,0.0,0.0,4000
local_developer_agents,nsjail_bubblewrap,nsjail or bubblewrap process sandbox,3.5934,3.5134,3.674,13.8703,0.0,0.0,4000
local_developer_agents,vercel_sandbox,Vercel Sandbox,3.5359,3.4381,3.6336,14.547,0.0,0.0,4000
autonomous_pr_security,daytona,Daytona sandboxes,4.1616,4.0728,4.2509,1.6087,0.6415,0.94,4000
autonomous_pr_security,e2b,E2B sandboxes,4.1125,4.0305,4.1944,2.4365,0.2547,0.8237,4000
autonomous_pr_security,kubernetes_hardened_pods,Kubernetes hardened pods,4.0475,3.9789,4.1145,4.0432,0.0395,0.4253,4000
autonomous_pr_security,modal_sandboxes,Modal Sandboxes,4.0391,3.9576,4.1224,4.4307,0.0367,0.3782,4000
autonomous_pr_security,firecracker_microvm,Firecracker microVMs,3.9901,3.9217,4.0583,6.0823,0.0032,0.102,4000
autonomous_pr_security,openhands_runtime_api,OpenHands runtime API sandbox,3.98,3.886,4.075,6.4955,0.0125,0.1288,4000
autonomous_pr_security,codex_sandbox,Codex sandbox and approvals,3.9666,3.8732,4.0559,7.0042,0.0047,0.0978,4000
autonomous_pr_security,vercel_sandbox,Vercel Sandbox,3.9446,3.8474,4.0436,7.8027,0.0043,0.0617,4000
autonomous_pr_security,kata_containers,Kata Containers,3.9381,3.8659,4.0101,8.0473,0.0005,0.0192,4000
autonomous_pr_security,gvisor_runsc,gVisor runsc,3.8781,3.8112,3.9482,10.1828,0.0,0.0003,4000
autonomous_pr_security,sandcastle_providers,Sandcastle provider sandboxes,3.8708,3.76,3.9795,10.1928,0.0013,0.0152,4000
autonomous_pr_security,flue_virtual_sandbox,Flue virtual sandbox,3.8508,3.7429,3.9598,10.7747,0.001,0.0077,4000
autonomous_pr_security,podman_rootless,Podman rootless containers,3.7744,3.707,3.8432,12.9328,0.0,0.0,4000
autonomous_pr_security,docker_rootless,Docker rootless containers,3.7726,3.7037,3.8419,12.9667,0.0,0.0,4000
autonomous_pr_security,nsjail_bubblewrap,nsjail or bubblewrap process sandbox,3.4887,3.411,3.5658,14.999,0.0,0.0,4000
untrusted_user_code,daytona,Daytona sandboxes,4.1939,4.1042,4.2795,1.7437,0.572,0.9263,4000
untrusted_user_code,e2b,E2B sandboxes,4.1549,4.0722,4.2387,2.4272,0.2727,0.8245,4000
untrusted_user_code,modal_sandboxes,Modal Sandboxes,4.1156,4.0353,4.1963,3.3457,0.112,0.6218,4000
untrusted_user_code,kubernetes_hardened_pods,Kubernetes hardened pods,4.0508,3.9828,4.121,5.244,0.0103,0.1767,4000
untrusted_user_code,firecracker_microvm,Firecracker microVMs,4.0397,3.9707,4.1083,5.6205,0.005,0.1185,4000
untrusted_user_code,vercel_sandbox,Vercel Sandbox,4.0337,3.9382,4.1283,5.863,0.014,0.169,4000
untrusted_user_code,codex_sandbox,Codex sandbox and approvals,4.0147,3.9215,4.1087,6.4858,0.0088,0.103,4000
untrusted_user_code,openhands_runtime_api,OpenHands runtime API sandbox,3.9821,3.8849,4.0795,7.5315,0.0047,0.0478,4000
untrusted_user_code,kata_containers,Kata Containers,3.9555,3.8802,4.0307,8.4325,0.0003,0.0077,4000
untrusted_user_code,gvisor_runsc,gVisor runsc,3.8912,3.8225,3.96,10.244,0.0,0.0003,4000
untrusted_user_code,sandcastle_providers,Sandcastle provider sandboxes,3.8662,3.753,3.9783,10.7167,0.0003,0.0025,4000
untrusted_user_code,flue_virtual_sandbox,Flue virtual sandbox,3.8523,3.7392,3.9638,11.0213,0.0,0.002,4000
untrusted_user_code,podman_rootless,Podman rootless containers,3.7564,3.6888,3.8248,13.0835,0.0,0.0,4000
untrusted_user_code,docker_rootless,Docker rootless containers,3.7447,3.675,3.8135,13.2505,0.0,0.0,4000
untrusted_user_code,nsjail_bubblewrap,nsjail or bubblewrap process sandbox,3.5284,3.4489,3.6073,14.99,0.0,0.0,4000
evals_and_rl_scale,daytona,Daytona sandboxes,4.2597,4.1749,4.3458,1.462,0.666,0.9865,4000
evals_and_rl_scale,modal_sandboxes,Modal Sandboxes,4.1917,4.114,4.2696,2.374,0.1675,0.9337,4000
evals_and_rl_scale,e2b,E2B sandboxes,4.1909,4.1106,4.2706,2.407,0.1615,0.9197,4000
evals_and_rl_scale,vercel_sandbox,Vercel Sandbox,4.0287,3.932,4.1243,5.593,0.0027,0.064,4000
evals_and_rl_scale,openhands_runtime_api,OpenHands runtime API sandbox,4.0115,3.9158,4.108,6.0682,0.0008,0.0437,4000
evals_and_rl_scale,kubernetes_hardened_pods,Kubernetes hardened pods,3.9941,3.9268,4.06,6.4105,0.0,0.0067,4000
evals_and_rl_scale,codex_sandbox,Codex sandbox and approvals,3.9818,3.8901,4.0733,6.9618,0.0005,0.014,4000
evals_and_rl_scale,flue_virtual_sandbox,Flue virtual sandbox,3.9727,3.865,4.0827,7.293,0.001,0.028,4000
evals_and_rl_scale,firecracker_microvm,Firecracker microVMs,3.8977,3.8303,3.9656,9.7655,0.0,0.0003,4000
evals_and_rl_scale,sandcastle_providers,Sandcastle provider sandboxes,3.8963,3.7871,4.0048,9.7747,0.0,0.0032,4000
evals_and_rl_scale,gvisor_runsc,gVisor runsc,3.8594,3.7929,3.9261,11.1605,0.0,0.0,4000
evals_and_rl_scale,docker_rootless,Docker rootless containers,3.8556,3.7889,3.922,11.2878,0.0,0.0,4000
evals_and_rl_scale,kata_containers,Kata Containers,3.8359,3.7623,3.9081,11.949,0.0,0.0,4000
evals_and_rl_scale,podman_rootless,Podman rootless containers,3.819,3.7518,3.8885,12.493,0.0,0.0,4000
evals_and_rl_scale,nsjail_bubblewrap,nsjail or bubblewrap process sandbox,3.5189,3.439,3.5991,15.0,0.0,0.0,4000
enterprise_self_hosted,kubernetes_hardened_pods,Kubernetes hardened pods,4.0809,4.0155,4.1479,1.4125,0.6775,0.9872,4000
enterprise_self_hosted,firecracker_microvm,Firecracker microVMs,4.0397,3.9735,4.1047,2.049,0.2575,0.9483,4000
enterprise_self_hosted,kata_containers,Kata Containers,3.983,3.9117,4.0541,3.1705,0.0517,0.7027,4000
enterprise_self_hosted,gvisor_runsc,gVisor runsc,3.9182,3.8491,3.9847,4.6545,0.003,0.1655,4000
enterprise_self_hosted,flue_virtual_sandbox,Flue virtual sandbox,3.875,3.7667,3.9813,5.7785,0.008,0.1242,4000
enterprise_self_hosted,podman_rootless,Podman rootless containers,3.8599,3.794,3.9277,6.1993,0.0,0.0238,4000
enterprise_self_hosted,docker_rootless,Docker rootless containers,3.856,3.7865,3.9248,6.2995,0.0003,0.0222,4000
enterprise_self_hosted,sandcastle_providers,Sandcastle provider sandboxes,3.8013,3.6917,3.9088,7.5615,0.002,0.0243,4000
enterprise_self_hosted,openhands_runtime_api,OpenHands runtime API sandbox,3.7411,3.6469,3.8378,8.9175,0.0,0.0018,4000
enterprise_self_hosted,daytona,Daytona sandboxes,3.7225,3.6339,3.8093,9.272,0.0,0.0,4000
enterprise_self_hosted,nsjail_bubblewrap,nsjail or bubblewrap process sandbox,3.5958,3.5172,3.6737,11.2538,0.0,0.0,4000
enterprise_self_hosted,e2b,E2B sandboxes,3.5766,3.4938,3.6571,11.4825,0.0,0.0,4000
enterprise_self_hosted,codex_sandbox,Codex sandbox and approvals,3.4017,3.3115,3.494,13.1092,0.0,0.0,4000
enterprise_self_hosted,modal_sandboxes,Modal Sandboxes,3.2977,3.2104,3.3817,13.9817,0.0,0.0,4000
enterprise_self_hosted,vercel_sandbox,Vercel Sandbox,3.1858,3.0852,3.2869,14.858,0.0,0.0,4000
